1342197894 |  389 | Neptune              | SSO |  22:03:30.82 | -12:24:48.70 |  -17.45903 | Mon Jun 07 05:38:58 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | large  |     | pointed                       | Calibration_rppacs_23    |  2377 |   1  | SED B2B 140.00-220.00 x1 
1342197895 |  389 | Neptune              | SSO |  22:03:30.76 | -12:24:47.42 |  -17.48927 | Mon Jun 07 06:24:40 2010 UTC | Range | Nyquist     | SED B3A | chopNod   | large  |     | pointed                       | Calibration_rppacs_23    |  3051 |   1  | SED B3A 140.00-219.00 x1 
1342197896 |  389 | Neptune              | SSO |  22:03:30.58 | -12:24:42.05 |  -17.50993 | Mon Jun 07 06:57:12 2010 UTC | Range | Nyquist     | SED B2A | unchopped |        |     | pointed                       | Calibration_rppacs_24    |   720 |   1  | 
1342197897 |  389 | Neptune-OFF-June-6   |     |  21:52:38.94 | -13:17:56.50 |  -20.30937 | Mon Jun 07 07:10:58 2010 UTC | Range | Nyquist     | SED B2A | unchopped |        |     | pointed                       | Calibration_rppacs_24    |   720 |   1  | 
1342197898 |  389 | Neptune              | SSO |  22:03:30.57 | -12:24:42.17 |  -17.52805 | Mon Jun 07 07:24:34 2010 UTC | Range | Nyquist     | SED B2A | unchopped |        |     | pointed                       | Calibration_rppacs_24    |   720 |   1  | 
1342197899 |  389 | Neptune-OFF-June-6   |     |  21:52:38.94 | -13:17:56.50 |  -20.32740 | Mon Jun 07 07:38:20 2010 UTC | Range | Nyquist     | SED B2A | unchopped |        |     | pointed                       | Calibration_rppacs_24    |   720 |   1  | 
1342197900 |  389 | Neptune              | SSO |  22:03:30.55 | -12:24:42.31 |  -17.54975 | Mon Jun 07 07:57:25 2010 UTC | Range | Nyquist     | SED B2B | unchopped |        |     | pointed                       | Calibration_rppacs_24    |  1457 |   1  | 
1342197901 |  389 | Neptune-OFF-June-6   |     |  21:52:38.94 | -13:17:56.50 |  -20.35625 | Mon Jun 07 08:22:10 2010 UTC | Range | Nyquist     | SED B2B | unchopped |        |     | pointed                       | Calibration_rppacs_24    |  1457 |   1  | 
1342197902 |  389 | Neptune              | SSO |  22:03:30.52 | -12:24:42.51 |  -17.58232 | Mon Jun 07 08:46:45 2010 UTC | Range | Nyquist     | SED B2B | unchopped |        |     | pointed                       | Calibration_rppacs_24    |  1457 |   1  | 
1342197903 |  389 | Neptune-OFF-June-6   |     |  21:52:38.94 | -13:17:56.50 |  -20.38878 | Mon Jun 07 09:11:30 2010 UTC | Range | Nyquist     | SED B2B | unchopped |        |     | pointed                       | Calibration_rppacs_24    |  1457 |   1  | 
1342197904 |  389 | Neptune              | SSO |  22:03:30.49 | -12:24:42.73 |  -17.61710 | Mon Jun 07 09:39:23 2010 UTC | Range | Nyquist     | SED B3A | unchopped |        |     | pointed                       | Calibration_rppacs_24    |  1853 |   1  | 
1342197905 |  389 | Neptune-OFF-June-6   |     |  21:52:38.94 | -13:17:56.50 |  -20.42772 | Mon Jun 07 10:10:43 2010 UTC | Range | Nyquist     | SED B3A | unchopped |        |     | pointed                       | Calibration_rppacs_24    |  1853 |   1  | 
1342197906 |  389 | Neptune              | SSO |  22:03:30.46 | -12:24:42.99 |  -17.65843 | Mon Jun 07 10:41:53 2010 UTC | Range | Nyquist     | SED B3A | unchopped |        |     | pointed                       | Calibration_rppacs_24    |  1853 |   1  | 
1342197907 |  389 | Neptune-OFF-June-6   |     |  21:52:38.94 | -13:17:56.50 |  -20.46887 | Mon Jun 07 11:13:13 2010 UTC | Range | Nyquist     | SED B3A | unchopped |        |     | pointed                       | Calibration_rppacs_24    |  1853 |   1  | 
1342198170 |  384 | Beta Pic             |     |  05:47:17.09 | -51:03:59.50 |   15.58175 | Tue Jun 01 23:57:34 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | large  |     | pointed                       | KPGT_golofs01_1          | 13451 |   2  | SED B2A 102.00-146.00 x6 
1342198171 |  384 | Beta Pic             |     |  05:47:17.09 | -51:03:59.50 |   15.59376 | Wed Jun 02 05:34:45 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | large  |     | pointed                       | KPGT_golofs01_1          | 26975 |   2  | SED B2B 140.00-220.00 x6 
1342198174 |  384 | NML CYG              |     |  20:46:25.46 |  40:06:59.60 |   -5.51518 | Wed Jun 02 15:05:09 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  2373 |   1  | SED B2B 140.00-220.00 x1 
1342198175 |  384 | NML CYG              |     |  20:46:25.46 |  40:06:59.60 |   -5.52665 | Wed Jun 02 15:35:38 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  1125 |   1  | SED B2A 102.00-146.00 x1 
1342198176 |  384 | KHI CYG              |     |  19:50:33.92 |  32:54:50.60 |  -18.75534 | Wed Jun 02 16:25:52 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  4605 |   1  | SED B2B 140.00-220.00 x2 
1342198177 |  384 | KHI CYG              |     |  19:50:33.92 |  32:54:50.60 |  -18.77625 | Wed Jun 02 17:24:12 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  2124 |   1  | SED B2A 102.00-146.00 x2 
1342199145 |  405 | Titan                | SSO |  11:56:27.34 |  02:54:17.83 |    3.25232 | Wed Jun 23 00:50:07 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | small  |     | pointed                       | KPGT_pharto01_1          |  1243 |   1  | SED B2A 102.00-146.00 x1 
1342199146 |  405 | Titan                | SSO |  11:56:27.51 |  02:54:15.12 |    3.27149 | Wed Jun 23 01:20:41 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | small  |     | pointed                       | KPGT_pharto01_1          |  2133 |   1  | SED B2B 140.00-220.00 x1 
1342199233 |  409 | AFGL 2688            |     |  21:02:18.75 |  36:41:37.80 |  -18.91216 | Sat Jun 26 23:37:15 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  1125 |   1  | SED B2A 102.00-146.00 x1 
1342199234 |  409 | AFGL 2688            |     |  21:02:18.75 |  36:41:37.80 |  -18.92373 | Sun Jun 27 00:07:43 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  2373 |   1  | SED B2B 140.00-220.00 x1 
1342199235 |  409 | AFGL 2688            |     |  21:02:18.75 |  36:41:37.80 |  -18.94097 | Sun Jun 27 00:53:11 2010 UTC | Range | Nyquist     | SED B3A | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  3047 |   1  | SED B3A 140.00-219.00 x1 
1342199290 |  408 | ISOPHOT Dark Field   |     |  17:49:10.00 |  69:48:26.00 |    3.35494 | Sat Jun 26 08:19:24 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | small  |     | pointed                       | Calibration_rppacs_27    |  1243 |   1  | 
